--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
078.164  000.246  000.083: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
079.505  001.257  001.257: sourcing /Users/ahmed.rezk/.local/share/nvim/lazy/vimtex/ftdetect/tex.vim
079.521  001.353  000.097: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
079.700  000.043  000.043: sourcing /Users/ahmed.rezk/.local/share/nvim/lazy/vimtex/ftdetect/tikz.vim
079.705  000.180  000.137: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
079.709  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
080.426  000.004  000.004: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
080.433  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
081.229  000.794  000.794: require('ts-error-translator')
081.594  000.333  000.333: require('ts-error-translator.diagnostic')
082.468  000.374  000.374: require('vim.lsp.completion')
082.522  000.925  000.551: require('vim.lsp.handlers')
082.550  000.002  000.002: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
082.555  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
087.507  001.000  001.000: require('uv')
088.070  000.499  000.499: require('snacks.picker')
089.478  000.631  000.631: sourcing /Users/ahmed.rezk/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
089.492  000.731  000.100: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
089.505  000.004  000.004: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
089.559  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
090.673  000.706  000.706: require('telescope._extensions')
090.681  002.591  001.149: require('telescope')
091.566  000.747  000.747: require('snacks.picker.config.sources')
092.678  000.195  000.195: sourcing /Users/ahmed.rezk/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
092.686  000.270  000.075: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
092.692  000.002  000.002: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
092.700  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
094.746  000.130  000.130: require('plenary.tbl')
094.749  000.290  000.160: require('plenary.vararg.rotate')
094.750  001.183  000.893: require('plenary.vararg')
094.872  000.120  000.120: require('plenary.errors')
095.066  000.193  000.193: require('plenary.functional')
095.068  002.171  000.674: require('plenary.async.async')
095.574  000.110  000.110: require('plenary.async.structs')
095.578  000.244  000.134: require('plenary.async.control')
095.581  000.368  000.124: require('plenary.async.util')
095.583  000.513  000.145: require('plenary.async.tests')
095.584  003.544  000.587: require('plenary.async')
096.823  000.273  000.273: require('plenary.bit')
096.852  000.593  000.320: require('plenary.path')
096.862  000.802  000.209: require('plenary.strings')
096.864  001.027  000.225: require('plenary.window.border')
097.106  000.241  000.241: require('plenary.window')
097.396  000.289  000.289: require('plenary.popup.utils')
097.403  000.004  000.004: require('vim.F')
097.405  001.820  000.259: require('plenary.popup')
099.550  000.176  000.176: require('plenary.log')
099.584  000.324  000.148: require('telescope.log')
100.279  000.186  000.186: require('plenary.compat')
100.284  000.429  000.243: require('plenary.job')
100.404  000.120  000.120: require('telescope.state')
100.639  000.221  000.221: require('vim.hl')
102.694  000.223  000.223: require('vim.treesitter.language')
102.923  000.227  000.227: require('vim.func')
103.143  000.217  000.217: require('vim.func._memoize')
103.169  000.989  000.323: require('vim.treesitter.query')
103.500  000.330  000.330: require('vim.treesitter._range')
103.509  001.628  000.308: require('vim.treesitter.languagetree')
103.513  002.868  001.241: require('vim.treesitter')
103.516  003.932  000.294: require('telescope.utils')
103.520  004.549  000.294: require('telescope.sorters')
104.645  006.020  001.470: require('telescope.config')
104.792  000.146  000.146: require('telescope.pickers.scroller')
104.930  000.137  000.137: require('telescope.actions.state')
105.148  000.217  000.217: require('telescope.actions.utils')
105.474  000.123  000.123: require('telescope.actions.mt')
105.481  000.332  000.209: require('telescope.actions.set')
105.779  000.189  000.189: require('telescope.config.resolve')
105.780  000.299  000.110: require('telescope.pickers.entry_display')
105.893  000.112  000.112: require('telescope.from_entry')
106.053  008.647  001.385: require('telescope.actions')
106.327  000.272  000.272: require('telescope.debounce')
106.648  000.320  000.320: require('telescope.mappings')
107.005  000.356  000.356: require('telescope.pickers.highlights')
107.212  000.206  000.206: require('telescope.pickers.window')
107.424  000.211  000.211: require('telescope.pickers.layout')
108.072  000.142  000.142: require('telescope.algos.linked_list')
108.075  000.650  000.508: require('telescope.entry_manager')
108.200  000.124  000.124: require('telescope.pickers.multi')
108.216  016.646  000.495: require('telescope.pickers')
108.731  000.380  000.380: require('telescope.make_entry')
108.978  000.246  000.246: require('telescope.finders.async_static_finder')
109.477  000.116  000.116: require('plenary.class')
109.514  000.378  000.261: require('telescope._')
109.515  000.535  000.158: require('telescope.finders.async_oneshot_finder')
109.626  000.111  000.111: require('telescope.finders.async_job_finder')
109.631  001.414  000.142: require('telescope.finders')
109.959  000.007  000.007: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
109.966  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
109.973  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
